فا	Shortened form of the word 'on', particularly before the definite article in all its various forms
على الكرسي		on the chair
على النار		on the fire; over the flame
على الطاولة		on the table
على السن		for; in order to; because
عائلة		family (husband, wife, and children)
في جميع العائلات	in all families
عبد		to worship
منعبد الله تعالى	We worship God Almighty
بيعبدو / بعبدو الأصنام	They worship idols
هو معبود الساحب	He is idolized by the people (he’s the worshipped of the people)
عبتت ابنها	She hugged her son
عضبت فرن عضبة	hugging (active part)
عبتين بعض	[They’re] hugging each other
سلح عبايته	He took off his coat
عبى		to fill (used mainly when speaking of non-liquid substances or of portable containers); to fill in (a form); to wind (a clock); to load (a weapon)
عبت الصوال قمح	I filled the sack with wheat
بعبي القنينة / الكوب	He fills the bottle / the cup
بتلعب لوتو انت؟	Do you play the lottery? (Do you fill in the lottery forms?)
لازم تعبي طلب	You have to fill in an application form
كلام بعبي المخ	Food for thought (words that fill the brain)
بدي أعبي بنزين	I want to fill up the car with petrol/gas
عبت الساعة	I wound the clock/watch
نسيت أعبيها	I forgot to wind it
بعبي الإبرة بالخيط / بعبي الخيط في الإبرة	I thread the needle (I fill the needle with the thread/I fill the thread into the needle)
بعبي البارود	He loads the rifle
الفرد مش معبا	The pistol isn’t loaded
البارود معباي	The rifle's loaded
عبد الطريق	The road hasn't been surfaced (The road’s unsurfaced)
الطرق مش معبدة	The roads haven't been paved/surfaced
عباد الشمس	Sunflower (adorer of the sun)
عبار للتعبير	To express
المندوب بيعبر عن فكرة الجملة	The delegate expresses the opinion of the group
الولد بيعبر عن نفسه في رسوماته	The child expresses himself through his drawings
بيعجز يعبر عن أفكاره	He doesn’t know how to express his thoughts
بعبر عن مشاعري	I express my feelings
كل واحد بعبر عن رأيه	Everyone expresses an opinion
تحرير العبيد	the liberation of the slaves
عبد الرحمن، عبد الله	servant of the Merciful One, servant of God
في الوقت الحالي حتى	until, in the meantime
أنا باقعد في الوقت الحالي حتى تخلص	Should I sit down in the meantime, until you've finished?
في الوقت الحالي حتى تصحى الدنيا	We'll wait until it clears up/[We'll wait] for the weather to clear
بناديه في الوقت الحالي حتى تتصل معاها	I'll call him, and you phone her in the meantime
عبس	frowning, scowling, looking angry
مالك عبس اليوم؟	Why are you looking angry today?
أبله	stupid, foolish
أبله، يعني عقله يابس	'Abif means he hasn't got much in the way of a brain (his brain's dry)
والله أنت أبله	You're so stupid!
عبقري	genius
هذا واحد عبقري	This man is a genius
فلان، المخرج العبقري، حسب رأيي	So-and-so, [who is] in my opinion, a director of genius / So-and-so, a director of genius in my opinion
أعد	to repeat, do (something) again
أعد كلامك	Repeat what you said! / Say that again!
بأعد اللي قلته	I repeat what I said
أكيد راح نعيد الزيارة هاي	We'll certainly repeat our visit / We'll certainly come again
أنا ما بحب أعيد الماضي	I don't like to dwell on the past
هاي الظاهرة بتعيد نفسها كل مئة سنة	This phenomenon recurs every hundred years
التاريخ بعيد نفسه	History repeats itself
مش رح أعيد ها المرة التانية	I won't do that again! / I won't do it again
عاد لعادته القديمة	Here we go again!; He’s / She’s / You’re / They’re at it again! (He/She/They has gone back to her/his/their old [bad] habits)
لو عدنا للموضوع السابق وسألناك	Let's get back to the previous topic and ask you
ما عاد يحكي عنها	He didn’t talk about her anymore / He no longer spoke of her
ما عاد في داعي	It’s no longer necessary / It’s not needed anymore
ما عاد عندي صبر	I don’t have patience anymore / I no longer have patience
ما عاد بصير	It won’t happen anymore
ما عودت أروح لهناك	I don’t go there anymore
ما عد في عندي كلام حتى أشكركم	I don’t know how to thank you (there are no longer words at me so that I thank you)
يلا	Come on! / Well done!
هلصني هلا		Come on then, get on with it! (rescue me / free me)
اسكت هلا		Come on, be quiet!
بس هلا		Come on, that's enough!
كيف هلا بدنا نعمل		Well then, what should we do?
بدو يعديك		He’ll infect you (with his illness)
هو عداني		He infected me
أنا عديتو		I gave it (e.g., my cold) to him
بعاديني		He dislikes me! He's hostile towards me
اتخذ موقف معادي		He adopted a hostile attitude
ما عدا		except, apart from
الكل راح ما عداي		Everyone went except me
ما عداك (أو ما عدا إنت)	except you / apart from you
كل يوم ما عدا يوم الأحد	every day except Sunday
عمل عدائي		hostile behavior
عدد		number
عدد أصلي		cardinal number
عدد ترتيبي		ordinal number
الأعداد الترتيبية		the ordinal numbers
قديش عدد السكان		What's the population? (what is the number of the inhabitants)
عددهم بزيد يوم عن يوم	Their number grows daily
دايما في عدد معين من الناخبين اللي		Always there is a certain number of voters who...
عدد من الجريدة		number / issue of the newspaper
في العدد السابق		in the previous issue
عدالة		justice, fairness, honesty
عدم		absence, lack; shortage
عدم احترام		lack of respect
في عدم اهتمام		People aren’t interested (there's a lack of interest)
لعدم وجود		because of the shortage / lack / absence (for lack of presence)
عدس		lentil
عدسة		lens
عدسات لاصقة		contact lenses
عادةً		usually, normally, ordinarily
عادةً بيعملو هيك		They usually do this
عداوة		hostility, enmity
بسبب العداوة بين الساحبين		This causes enmity between the two peoples
ما في محبة ولا صحبة إلا بعد العداوة	A resolved conflict strengthens a friendship (there is no love nor friendship except after enmity)
عد			to count, to consider (someone / something) to be...
عددت الكراسي		I counted the chairs
عددهم / عدديهم كمان مرة		Count them again!
بتعرف تعد للعشرة؟		Can you count to ten?
اعد للعشرة		Count to ten [before you react]
بعددك صديق إلي		I consider you a friend (a friend to me)
عد			counting (VN of to count)
ما خلصو عد الأصوات	They haven't finished counting the votes
عداد		meter
عداد الكهرباء		the electricity meter
العداد بيقول ثمانين		The speedometer shows 80 (kilometers per hour)
العداد وصل مية وعشرين		The speedometer reached 120
عادة		habit, custom
متل العادة		as usual (as is the custom)
جدي كان عنده عادة ينزل كل يوم السوق	My grandfather was in the habit of going to market every day
عادته بيرجع بكير		He usually gets back early
هيك العادة عنا		That’s the custom with us / That's what we usually do
خرج يتمشى متل عادته يتنفس الهوا	He went out for a walk as usual (he went out like his custom to breathe the air)
إنت مش زي عادتك		You’re different from usual (you're not like your custom)
حسب العوايد القديمة لازم		According to the old customs [we] must...
العادات والتقاليد		customs and traditions
حسب عادات بلدهم		in accordance with the customs of their community
بحافظو على عاداتهم		They retain their customs
العادة الشهرية		period / menstruation (the [monthly] custom)
جتها العادة / صار معها العادة	She got her period
أول ما بتجيها العادة الشهرية، بتخاف	The first time (a woman) gets her period, she’s frightened
العادة السرية		masturbation (the secret custom)
العدل		justice
بيطالب بالعدل		He demands justice / He's seeking justice
هادا مش عدل / هادا ضد العدل	This isn't fair / This is against justice
ذاك ظالم	That's unjust
عادل	just, fair
توزيع عادل	fair distribution
الحل العادل	the just / fair solution
عقوبة عادلة	a just punishment
عادي	1) usual 2) normal, ordinary, regular
حسب الإجراءات العادية	in accordance with normal procedure (according to the usual method)
هادا إجي عادي	That's normal! That's nothing out of the ordinary
بشتغل عادي	All I’m working normally
ببعت الرسالة بالبريد العادي	I send the letter by ordinary / regular mail
الأولاد العاديين	the children who are not physically or mentally challenged (the normal children)
بده يلعب زي الأولاد العاديين	He wants to play like the normal children (like an ordinary child)
عديد	numerous
صهر	brother-in-law (the husband of one's wife's sister)
هو متجوز أخت مراتي	He’s married to my wife’s sister
هدول أخوان متجوزين لأختين	Those two men are married to two sisters (The wives of those two men are sisters)
بدون، ناقص، أقل	without, lacking, less, un-, in- (common in expressions like)
يا عديم الأخلاق	You are utterly immoral! (oh you [who are] beyond morals)
يا عديم الحياء	You, shameless!
عدو	enemy
اعرف عدوك	Know your enemy!
قوات العدو	the enemy forces
وباء	epidemic
أعوذ بالله	Heaven forbid! (I take refuge in God)
أعوذ بالله من الشيطان الرجيم	I seek God's protection from accursed Satan (said before reading the Quran)
أعوذ بالله من البلاوي هادي	I seek God’s protection from these calamities
ناوي تهاجر؟ - أعوذ بالله	Are you thinking of emigrating? - Perish the thought!
عذراء	virgin (in Saudi Arabia and in a Christian context)
عضلة	muscle
التمارين بتقوي العضلات	The exercises strengthen the muscles
عض	to bite
الكلب عضني	The dog bit me / has bitten me
لا! الكلب هادا ما بعض	No, this dog doesn’t bite
عظم	bone (substance)
هادا من عظم	That's [made of] bone
العظمة	bone
انكسرت العظمة	The bone broke
العظمة مكسورة	The bone's broken
وين أحط العظام؟	Where shall I put the bones?
عضو	limb; organ; member
أعضاء الجسم	the bodily organs; the limbs
عضو الذكر	the male member / the male sexual organ / the penis
الأعضاء الجنسية	the sexual organs
أنا، كعضو في النادي	I, as a member of the club
مراتي عضوة في المجلس	My wife is a member of the council
كل أعضاء اللجنة	all the members of the committee
يعفي	to exempt, excuse, give an exemption to; to pardon
المعلم عفاني من الدرس	The teacher excused me from the lesson / The teacher gave me an exemption from the lesson
الرئيس عفا عنه	The president pardoned him
يعافي	to restore to health; to keep (someone) healthy
يعفن	to become mouldy, get musty
الخبز امعفن	The bread's gone mouldy
بسبب الرطوبة كل شي بيعفن	Because of the damp, everything gets mouldy
يعفش	to furnish, equip
بدنا نعفش البيت	We want to furnish / equip the house
غرفة معفشة	a furnished room
عفش	possessions, household effects; furniture
عفش البيت	household effects / the contents of the home
بدي اشتري عفش جديد	I want to buy new furniture
عفو	forgiveness, pardon
عفو عام	general amnesty
العفو!	Excuse me! / Pardon me!; Don't mention it! / You’re welcome! (in response to an expression of thanks)
عفوان	Excuse me! / Pardon me; Don't mention it! / You're welcome (in response to an expression of thanks)

